iter	Passed	Remaining
424	43647	59051
425	43739	58935
426	43834	58822
427	43937	58719
428	44032	58607
429	44138	58509
430	44230	58392
431	44322	58276
432	44426	58174
433	44519	58060
434	44613	57945
435	44716	57844
436	44811	57731
437	44908	576437438	45005	575438439	45101	57401
440	45199	57294
441	45285	57169
442	45379	57056
443	45467	56936
444	45564	56827
445	45667	56725
446	45762	566446447	45854	564447448	45951	563448449	46042	562449450	46135	561450451	46223	560451452	46321	559452453	46435	558453454	46539	557454455	46626	556455456	46720	555456457	46819	554457458	46916	552458459	47013	551459460	47102	550460461	47209	549461462	47304	548462463	47410	547463464	47507	546464465	47601	545465466	47701	544466467	47800	543467468	47898	542468469	48001	541469470	48103	540470471	48204	539471	48491	54244
472	48610	54160
473	48715	54059
474	48924	54074
475	49023	53966
476	49142	53881
477	49253	53787
478	49342	53668
479	49469	53591
480	49564	53480
481	49685	53396
482	49786	53291
483	49888	53187
484	49980	53071
485	50090	52976
486	50194	52874
487	50297	52771
488	50398	52665
489	50510	52572
490	50630	52486
491	50745	52395
492	50879	52324
493	51003	52242
494	51113	52145
495	51208	52034
496	51312	51932
497	51428	51841
498	51517	51723
499	51599	51599
500	51693	51487
501	51794	51381
502	51887	51268
503	52023	51197
504	52127	51095
505	52228	50990
506	52311	50866
507	52416	50766
508	52590	50730
509	52683	50617
510	52783	50511
511	52890	50411
512	52999	50313
513	53091	50199
514	53171	50074
515	53270	49966
516	53358	49849
517	53460	49744
518	53576	49653
519	53685	49555
520	53789	49452
521	53923	49378
522	54029	49277
523	54144	49184
524	54266	49098
525	54352	48979
526	54464	48883
527	54602	48811
528	54715	48716
529	54851	48641
530	54945	48529
531	55051	48428
532	55153	48323
533	55250	48215
534	55361	48118
535	55470	48019
536	55557	47901
537	55672	47807
538	55760	47691
539	55840	47567
540	55954	47473
541	56063	47374
542	56156	47262
543	56288	47182
544	56376	47066
545	56447	46936
546	56538	46822
547	56618	46699
548	56744	46615
549	56871	46531
550	56961	46417
551	57047	46299
552	57154	46198
553	57252	46091
554	57360	45991
555	57435	45866
556	57537	45761
557	57651	45666
558	57795	45595
559	57889	45484
560	57979	45370
561	58078	45264
562	58175	45155
563	58265	45042
564	58371	44940
565	58496	44854
566	58607	44756
567	58705	44649
568	58784	44527
569	58889	44425
570	58978	44311
571	59096	44219
572	59185	44104
573	59292	44004
574	59400	43904
575	59483	43786
576	59573	43673
577	59670	43565
578	59763	43455
579	59843	43334
580	59949	43233
581	60050	43128
582	60167	43036
583	60285	42942
584	60368	42825
585	60511	42750
586	60610	42644
587	60714	42541
588	60811	42434
589	60911	42327
590	61016	42226
591	61159	42150
592	61264	42048
593	61366	41944
594	61450	41827
595	61549	41721
596	61653	41618
597	61763	41519
598	61862	41413
599	61950	41300
600	62045	41191
601	62134	41078
602	62245	40980
603	62353	40880
604	62447	40771
605	62536	40659
606	62655	40566
607	62746	40455
608	62846	40349
609	62947	40245
610	63032	40130
611	63130	40024
612	63224	39914
613	63304	39797
614	63386	39681
615	63478	39571
616	63613	39488
617	63711	39381
618	63825	39285
619	63904	39167
620	63989	39052
621	64075	38940
622	64180	38837
623	64276	38730
624	64390	38634
625	64481	38524
626	64558	38405
627	64675	38311
628	64763	38199
629	64842	38082
630	64920	37964
631	65006	37851
632	65098	37742
633	65204	37641
634	65288	37528
635	65371	37413
636	65474	37311
637	65568	37203
638	65673	37101
639	65769	36995
640	65864	36888
641	65968	36785
642	66075	36685
643	66152	36568
644	66243	36459
645	66337	36352
646	66422	36240
647	66548	36149
648	66655	36049
649	66753	35944
650	66867	35847
651	66989	35755
652	67086	35649
653	67169	35536
654	67246	35419
655	67350	35318
656	67449	35213
657	67561	35115
658	67658	35009
659	67771	34912
660	67861	34803
661	67954	34696
662	68044	34586
663	68141	34481
664	68230	34371
665	68345	34275
666	68463	34180
667	68559	34074
668	68667	33974
669	68762	33867
670	68840	33753
671	68926	33642
672	69025	33538
673	69106	33425
674	69196	33316
675	69275	33202
676	69382	33102
677	69471	32993
678	69559	32884
679	69649	32776
680	69739	32667
681	69831	32560
682	69929	32456
683	70018	32347
684	70107	32239
685	70199	32131
686	70285	32022
687	70368	31911
688	70450	31799
689	70539	31691
690	70632	31585
691	70721	31476
692	70807	31367
693	70895	31259
694	70979	31149
695	71069	31041
696	71157	30933
697	71242	30823
698	71332	30716
699	71426	30611
700	71516	30504
701	71597	30393
702	71695	30289
703	71816	30195
704	71898	30085
705	71980	29974
706	72063	29865
707	72151	29757
708	72234	29647
709	72340	29547
710	72435	29442
711	72525	29336
712	72626	29233
713	72716	29127
714	72807	29021
715	72895	28914
716	72991	28809
717	73076	28701
718	73176	28598
719	73271	28494
720	73360	28387
721	73461	28285
722	73554	28180
723	73649	28076
724	73743	27971
