iter	Logloss
0	0.6924209019
1	0.6917052645
2	0.6910011316
3	0.6902222807
4	0.6895090896
5	0.6887484683
6	0.6880439475
7	0.687422743
8	0.6867186405
9	0.6860143098
10	0.6854030683
11	0.6847061003
12	0.6840819073
13	0.6833919252
14	0.6827014999
15	0.6820303503
16	0.6813377057
17	0.6806256235
18	0.6799525039
19	0.6792667907
20	0.6786701583
21	0.6779919772
22	0.6773923761
23	0.6767158396
24	0.6760194315
25	0.6753549484
26	0.6747420331
27	0.6740515901
28	0.673466603
29	0.6728021188
30	0.6721116164
31	0.6715210907
32	0.670794477
33	0.6701427516
34	0.6694780043
35	0.668845309
36	0.6681655764
37	0.6675647052
38	0.6669150685
39	0.6662402379
40	0.6656172078
41	0.6649731348
42	0.6643269588
43	0.6637869394
44	0.6632121717
4545	0.6576903446	46	0.6568327024
47	0.6559592468
48	0.6552701169
49	0.6545542435
50	0.6538151577
51	0.6530015488
52	0.6522526781
53	0.6515198105
54	0.6508572085
55	0.6501319932
56	0.6492847774
57	0.6485820598
58	0.64794369
59	0.6472635007
60	0.6464908962
61	0.6458146629
62	0.6451176407
63	0.644466663
64	0.6435853676
65	0.6428122576
66	0.6421024883
67	0.6414408641
68	0.6407078434
69	0.640045404
70	0.6393474446
71	0.6387350729
72	0.6379604513
73	0.6372895473
74	0.6366186736
75	0.6360281103
76	0.6353801306
77	0.6347024433
78	0.6338054206
79	0.6331606538
80	0.6325151863
81	0.6318591959
82	0.6312000185
83	0.6305466326
84	0.62990869
85	0.6292891445
86	0.6286527869
87	0.6278682773
88	0.6270697148
89	0.6265305563
90	0.6258887564
91	0.6252127721
92	0.6245849883
93	0.6239287798
94	0.6233231999
95	0.6227127559
96	0.6221086137
97	0.6214993999
98	0.6207694772
99	0.6201656249
100	0.6195308973
101	0.6190118942
102	0.6183989987
103	0.6176426435
104	0.6170360583
105	0.6163176132
106	0.6156639336
107	0.6150584004
108	0.614326557
109	0.6137526092
110	0.6130566594
111	0.6123139342
112	0.6116613564
113	0.6110543282
114	0.6105083671
115	0.6099138829
116	0.6093417427
117	0.6087458836
118	0.6081705728
119	0.6074793303
120	0.6068562992
121	0.606270709
122	0.605686276
123	0.6051243957
124	0.6045784725
125	0.6040146263
126	0.6034507323
127	0.6028845394
128	0.6022082669
129	0.6016341977
130	0.601054324
131	0.6005219006
132	0.5998667148
133	0.599256905
134	0.5985012195
135	0.5977075277
136	0.5972103353
137	0.5966647533
138	0.5959614417
139	0.5952566901
140	0.5945446737
141	0.5940046798
142	0.5933937325
143	0.59283822814144	0.59222329314145	0.59167084214146	0.5910179485
147	0.5903233506
148	0.5897226087
149	0.5891758847
150	0.5886076378
151	0.5880818315
152	0.5873203046
153	0.5868052714
154	0.5862950528
155	0.5857563717
156	0.5851831797
157	0.5845100285
158	0.583994525
159	0.5834988688
160	0.58298203431161	0.58248908016162	0.58195864716163	0.58142319164164	0.5809108165	165	0.5803338166	166	0.5797948167	167	0.5793095168	168	0.5787863169	169	0.5781473170	170	0.5776311171	171	0.5770415172	172	0.5765232173	173	0.5760263174	174	0.5754970175	0.5926018411
176	176	0.5743450177	177	0.5738243178	0.5910388476
179	179	0.572496180	0180	0.571993181	0181	0.571538182	0182	0.57109183	0.5886117732
184	0184	0.569904185	0185	0.569257186	0186	0.568751187	0187	0.568250188	0188	0.567657189	0189	0.567008190	0.5849137727
191	0.5844562435
192	0.5839503559
193	0.5834745752
194	0.5830969375
195	0.582680475
196	0.5821007783
197	0.5815845807
198	0.5810508472
199	0.5806249366
200	0.5801465857
201	0.5797252938
202	0.579270059
203	0.5787750713
204	0.5783635531
205	0.5779156568
206	0.577539888
207	0.5770430176
208	0.5766051685
209	0.5761497469
210	0.5756625824
211	0.5751266971
212	0.5747422557
213	0.5743090134
214	0.5738271518
215	0.5733464372
216	0.5728649096
217	0.5724142345
218	0.5720470062
219	0.5715732688
220	0.5711785082
221	0.5707524751
222	0222	0.549923223	0223	0.549481224	0224	0.54906225	0.225	0.54857226	0.226	0.54811227	0.227	0.54756228	0.228	0.54708229	0.229	0.54665230	0.230	0.54622231	0.231	0.5457232	0.5232	0.5452233	0.5233	0.5447234	0.5234	0.5443235	0.5235	0.5439236	0.5236	0.5434237	0.5639101322
238	0.5634834356
239	0.5631320505
240	0.5626696168
241	0.5622247662
242	0.5617643128
243	0.5612932411
244	0.5608772258
245	0.5604688144
246	0.5600181061
247	0.5596647244
248	0.559213117
249	0.5587754084
250	0.5583100859
251	0251	0.536551252	0252	0.535999253	0253	0.53545254	0.254	0.53487255	0255	0.534283256	0256	0.533847257	0257	0.533446258	0258	0.532970259	0259	0.532544260	0260	0.532038261	0261	0.53162262	0.262	0.53116263	0.263	0.53065264	0264	0.530254265	0265	0.529854266	266	0.5293721267	267	0.5289680268	268	0.5284240269	269	0.5278974270	270	0.5274664271271	0.52691289272272	0.52646080273273	0.52593606274274	0.52543025275275	0.52498948276276	0.52453428277277	0.524149827278	0.52376661927279	0.52331480528280	0.52275714228281	0.52226220428282	0.52184920828283	0.52146882228284	0.52106509728285	0.52054714028286	0.52014137928287	0.5197665108
288	0.5193668345
289	0.5190143531
290	0.51860057291291	0.51816342292292	0.5177117129293	0.51734394429294	0.51686560429295	0.51652805129296	0.51609822429297	0.51560654729298	0.51524659029299	0.51485237130300	0.51450624030301	0.51417460830302	0.51380723830303	0.51346524830304	0.51298065330305	0.51247385230306	0.51201678130307	0.51161533030308	0.51117921530309	0.51081118531310	0.51040168331311	0.51004078312312	0.50966046313313	0.50917701314314	0.5087396531315	0.50832876631316	0.50791248931317	0.50750013731318	0.50708090931319	0.5067506113320	0.50638978493321	0.50590678973322	0.505490935
323	0.5051136852
324	0.5047555045
325	0.50443098843326	0.50396179583327	0.50363217773328	0.50324205633329	0.50285598213330	0.50254424693331	0.50214371883332	0.501683396
333	0.5011905281
334	0.5007347222
335	0.5002991571
336	0.499974649
337	0.4995030744
338	0.4991887345
339	0.4988497661
340	0.4985086653
341	0.4981931147
342	0.4978363496
343	0.4973802868
344	0.4970693799
345	0.4967142156
346	0.4963792304
347	0.4960431368
348	0.4956650352
349	0.4953527877
350	0.4950192828
351	0.4947115533
352	0.4942651189
353	0.4939368351
354	0.4934838765
355	0.4930507871
356	0.4926935812
357	0.4923122589
358	0.4920186811
359	0.491714607
360	0.4913686447
361	0.4909786512
362	0.4906039198
